,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_IND,RED_LIGHT_CAMERA_IND
2426,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2433,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2439,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2444,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2466,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2469,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2471,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2473,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2490,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2495,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2496,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2499,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2519,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2529,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2536,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2566,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2568,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2585,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2586,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2601,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2609,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2614,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2615,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2622,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2624,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2637,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2642,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2658,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2662,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2665,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2677,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2694,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2714,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2749,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2754,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2755,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2756,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2757,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2761,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2764,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2766,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2787,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2791,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2795,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2800,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2807,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2811,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2824,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2826,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2829,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2833,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2836,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2848,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2853,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
2856,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2859,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2861,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2865,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2869,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2876,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2902,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2914,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
2921,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2935,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2947,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2948,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2953,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2964,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
2968,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
2993,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
2998,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3000,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3004,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3007,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3008,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3036,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3039,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3040,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3041,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3043,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3045,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3047,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3050,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3057,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3069,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3074,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3078,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3092,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3106,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3108,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3111,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3113,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3115,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3125,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3147,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3153,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3156,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3160,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3168,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3177,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3194,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3195,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3203,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3204,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3205,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3213,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3221,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3223,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3239,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3254,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3259,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3265,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3266,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3272,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3277,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3281,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3282,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3296,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3297,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3306,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3310,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3318,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3326,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3338,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3356,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3360,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3372,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3376,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3377,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3389,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3399,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3401,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3402,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3404,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3405,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3411,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3416,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3420,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3429,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3435,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3440,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3444,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3454,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3461,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3462,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3479,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3483,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3494,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3499,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3503,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3507,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3523,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3524,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3525,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3541,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3544,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3545,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3547,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3552,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3559,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3566,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3571,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3578,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3579,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3585,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3591,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3597,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3601,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3646,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3652,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3654,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3674,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3681,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3707,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,,Y
3710,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3722,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3724,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3733,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3736,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3743,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3766,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,,Y
3773,7297.0,Red Light / Speed Camera,EPPING ROAD LANE COVE WESTBOUND,,,Y
3775,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,,Y
3788,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
3792,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,,Y
