LOCATION_CODE,LATITUDE,LONGITUDE
6501.0,-29.1483662,153.3063283
6502.0,-29.4130023,153.2419014
6503.0,-33.4251502,149.6506842
6505.0,-34.9599481,149.4077462
6507.0,-35.95086510000001,149.1453135
6508.0,-28.95,153.466667
6509.0,-29.0958127,153.3396554
6510.0,-31.3689451,152.8011527
6511.0,-32.1168512,152.3691625
6512.0,-31.071707,152.845752
6513.0,-31.3689451,152.8011527
6514.0,-30.9089827,152.917814
6515.0,-31.655119,152.7303902
6518.0,-35.004096,148.1107374
6519.0,-34.8975544,148.2054061
6520.0,-34.8975544,148.2054061
6521.0,-34.8047375,148.9114194
6522.0,-33.9671027,147.1603969
6523.0,-33.3971888,147.9910276
6524.0,-31.6738388,148.7131866
6525.0,-31.9818835,148.583311
6526.0,-32.5216439,148.2798453
6527.0,-32.671618,148.1966504
6528.0,-32.3168065,150.939234
6529.0,-32.5665781,151.1783896
6531.0,-32.3168065,150.939234
6532.0,-32.141819,150.2901128
6533.0,-32.3296058,150.5576112
6536.0,-32.8558397,148.9120034
6537.0,-33.1144274,148.9346578
6538.0,-34.4140559,150.8810579
6539.0,-34.4014426,150.8790359
6541.0,-34.2389023,150.6884551
6542.0,-30.5213977,152.9827172
6543.0,-30.5877937,152.9994698
6544.0,-29.4130023,153.2419014
6545.0,-29.5419919,153.1578404
6546.0,-31.3689451,152.8011527
6547.0,-28.9355073,153.471953
6548.0,-33.5682239,150.2051199
6549.0,-33.5441917,150.1776561
6550.0,-33.5441917,150.1776561
6551.0,-33.5682239,150.2051199
6552.0,-31.0829153,152.8750523
6553.0,-31.3689451,152.8011527
6554.0,-30.9786767,150.7447064
6555.0,-30.9848887,150.2169848
6556.0,-30.9786767,150.7447064
6557.0,-31.0924098,150.934488
7101.0,-33.9008384,151.2038166
7102.0,-33.9021792,151.1983597
7103.0,-34.0699488,150.8133216
7104.0,-34.0699488,150.8133216
7105.0,-33.8905391,151.209491
7106.0,-33.9042168,151.2052427
7107.0,-33.8087148,151.0156856
7108.0,-33.898126,150.9202186
7109.0,-33.898126,150.9202186
7110.0,-34.0735629,150.8004793
7111.0,-34.0722088,150.8011279
7112.0,-33.83,151.051
7113.0,-33.8339895,151.0482217
7114.0,-33.9301004,151.0692622
7115.0,-33.929085,151.0742297
7118.0,-33.8193659,150.9872066
7119.0,-33.7094058,150.3730633
7120.0,-33.887432,151.217484
7121.0,-33.8854947,151.2181785
7122.0,-33.7696906,150.7711683
7123.0,-33.7689491,150.7698267
7124.0,-33.8826161,150.9987625
7125.0,-33.8838631,151.0076965
7126.0,-34.0346031,151.1054626
7127.0,-33.8860241,150.9747461
7128.0,-33.8979765,150.9735349
7129.0,-33.8684834,151.1027729
7130.0,-33.8689722,151.1059001
7131.0,-33.9545883,151.1376661
7132.0,-33.950264,151.139268
7139.0,-33.8765697,151.2245431
7140.0,-33.9031803,151.2222986
7141.0,-33.8853066,151.2183574
7144.0,-33.8394949,150.9998078
7145.0,-33.74371,150.9827855
7146.0,-33.7469565,150.9823503
7148.0,-33.925489,150.9181228
7149.0,-33.9282069,150.971545
7150.0,-33.7247612,150.9738798
7151.0,-33.8877665,151.2254056
7153.0,-33.8589383,151.0434738
7154.0,-33.8697048,151.0686715
7156.0,-33.8896382,151.1524184
7158.0,-33.9311462,151.1854873
7159.0,-33.898126,150.9202186
7160.0,-33.7763873,150.8991309
7161.0,-33.7394846,151.0733379
7162.0,-34.0434611,151.1259116
7163.0,-33.8638872,151.1702411
7164.0,-33.8154984,150.96956
7165.0,-33.7394846,151.0733379
7166.0,-33.8738561,150.9538397
7167.0,-33.9194418,151.0983962
7168.0,-33.799968,150.9027097
7169.0,-33.9335912,151.0733999
7170.0,-33.7727801,150.9016754
7171.0,-33.870155,151.147959
7173.0,-33.85912830000001,150.9938557
7174.0,-33.8302819,151.203424
7175.0,-33.949432,151.1467864
7176.0,-33.9028829,150.9428318
7177.0,-33.7240195,151.0870498
7178.0,-33.896277,151.220519
7179.0,-33.8211449,150.962425
7180.0,-33.8789342,151.1244362
7181.0,-33.9301231,150.9336252
7182.0,-33.7929012,150.9817786
7183.0,-33.9525972,151.1224609
7184.0,-33.762586,151.1374472
7185.0,-33.8010171,151.1213566
7186.0,-33.8698807,151.1322258
7188.0,-33.8830919,151.1978139
7190.0,-33.9255929,151.1893753
7191.0,-33.7681804,150.7103739
7192.0,-33.8893618,151.2563241
7193.0,-33.7604626,150.9132878
7194.0,-33.7501988,151.2893237
7195.0,-33.9804922,151.124708
7196.0,-33.7704419,150.8927967
7198.0,-34.0310018,151.0670527
7199.0,-33.9170444,151.2414342
7200.0,-33.7977086,151.0940482
7201.0,-33.8513762,150.9359191
7202.0,-33.9079782,151.1595508
7203.0,-33.81658530000001,151.1092436
7204.0,-33.824375,151.132937
7205.0,-33.8258567,151.2330311
7206.0,-33.938908,151.114004
7207.0,-33.890722,151.206127
7208.0,-33.9185524,151.226151
7209.0,-33.884243,150.93774
7210.0,-33.8853299,151.1371247
7211.0,-32.9371319,151.7163306
7212.0,-32.9275098,151.7572699
7213.0,-32.9122179,151.720923
7214.0,-32.8874123,151.7224693
7215.0,-32.9245781,151.7493677
7216.0,-34.4283969,150.8865581
7217.0,-34.4562961,150.8438715
7218.0,-34.425747,150.8998203
7219.0,-34.43680519999999,150.8633439
7220.0,-34.5318435,150.868605
7240.0,-33.8791607,151.1375481
7241.0,-33.8710114,151.1198776
7242.0,-33.8298358,151.010148
7243.0,-33.880541,151.2049867
7244.0,-33.880541,151.2049867
7245.0,-33.9230726,151.0678535
7246.0,-33.9187181,151.1031845
7247.0,-33.8172087,151.2015284
7248.0,-33.9162285,151.0384083
7249.0,-33.816592,151.000275
7250.0,-33.8637456,151.0185357
7251.0,-33.8752093,151.1592542
7252.0,-33.8631555,151.105011
7253.0,-33.9233691,150.911899
7254.0,-33.7945603,151.1183431
7270.0,-33.7945603,151.1183431
7271.0,-33.9144207,151.0677547
7272.0,-33.9351704,151.01043
7273.0,-33.767284,150.952495
7274.0,-33.778447,150.8110085
7275.0,-33.8960086,151.1065154
7276.0,-34.0725565,150.8101923
7277.0,-33.90295,151.084403
7278.0,-33.9492515,151.1024769
7279.0,-33.86573500000001,150.9555121
7280.0,-33.8499757,150.9449777
7281.0,-33.85315,150.939634
7282.0,-33.8154975,151.0045853
7283.0,-33.7957943,150.989149
7284.0,-33.7877012,150.7714889
7285.0,-33.9120879,151.2378064
7286.0,-33.981924,151.1367512
7287.0,-33.911853,151.1983787
7288.0,-33.8882355,151.2382061
7289.0,-32.9078928,151.66465
7290.0,-34.4881665,150.887895
7291.0,-34.4435211,150.8820758
7292.0,-31.2532183,146.921099
7293.0,-33.8769561,151.1009038
7294.0,-33.8990549,151.0373711
7295.0,-33.8869308,151.2082467
7296.0,-33.874597,151.216813
7297.0,-33.811225,151.1664308
7298.0,-33.8126402,151.0608014
7299.0,-33.8366784,150.9897028
7300.0,-33.85168,151.0381018
7301.0,-33.7943637,151.0742803
7302.0,-33.8786986,151.2136182
7303.0,-33.7714908,151.0799406
7304.0,-33.9522038,151.1313347
7305.0,-33.8303753,151.2141223
7306.0,-33.5989673,150.7514322
7307.0,-33.7105191,151.1034277
7308.0,-33.9405701,151.2382857
7309.0,-33.7314048,151.0035251
7310.0,-33.7651658,150.9090725
7311.0,-33.7326581,150.9422722
7313.0,-33.9826229,151.1089423
7314.0,-33.8742587,150.9446379
7315.0,-33.925489,150.9181228
7316.0,-33.8868105,151.1987816
7317.0,-33.9152419,151.1751742
7318.0,-33.8818177,151.2195857
7319.0,-33.7880939,150.8510543
7320.0,-33.9510299,151.092051
7321.0,-33.8990549,151.0373711
7322.0,-33.9017916,151.0648827
7323.0,-33.9612894,151.2099956
7324.0,-33.88209,150.9240894
7325.0,-33.6065709,150.8222373
7326.0,-33.8549852,151.0722685
7327.0,-33.7651658,150.9090725
7328.0,-33.758949,150.8326728
7329.0,-33.8845354,151.2113085
7330.0,-33.8508561,151.1545913
7331.0,-33.9008384,151.2038166
7332.0,-33.8841552,151.2142346
7333.0,-33.8188816,150.9975736
7334.0,-33.7991518,150.9004175
7335.0,-33.8281803,150.9616772
7336.0,-33.846332,151.0302299
7337.0,-33.861154,150.9328879
7338.0,-33.921885,150.9188845
9509.0,-34.3339998,150.9130166
9522.0,-33.8878286,151.1045152
9530.0,-28.7249643,153.4102392
9534.0,-33.839914,151.0325189
9535.0,-27.5860164,153.1060998
9538.0,-30.5877937,152.9994698
9540.0,-33.8179889,151.0221175
9541.0,-33.7947808,151.0164205
9542.0,-33.9074447,151.0216602
9543.0,-33.8180954,150.9337204
9546.0,-33.8969079,150.9525689
9547.0,-33.6176721,150.8070936
9548.0,-33.7016123,150.5809586
9549.0,-33.8787277,151.2359644
9550.0,-33.8124059,151.1592767
9551.0,-33.9365967,151.1253356
9552.0,-33.9356774,151.1466717
9553.0,-33.77646610000001,151.0523698
9554.0,-33.8037639,151.1027984
9556.0,-34.369373,150.9023484
9557.0,-34.369373,150.9023484
9560.0,-33.742286,151.045084
9561.0,-33.870332,150.980552
9563.0,-29.926309,151.72353
9567.0,-30.5877937,152.9994698
9568.0,-29.09610859999999,152.0020534
9570.0,-28.9355073,153.471953
9571.0,-28.8252315,153.4133672
9573.0,-33.961059,151.0501463
9574.0,-30.2489804,153.1370101
9577.0,-31.0629341,151.0409314
9578.0,-30.6790239,152.9455597
9579.0,-31.7904175,150.8995795
9580.0,-32.86778,151.7082373
9581.0,-32.86778,151.7082373
9582.0,-32.8874123,151.7224693
9583.0,-33.1456845,151.6123884
9586.0,-32.9254564,151.6829738
9587.0,-33.4398486,151.4239188
9590.0,-34.80817529999999,150.6371231
9592.0,-34.48975739999999,150.8832195
9593.0,-34.7418606,150.7504879
9594.0,-34.8556682,150.6119622
9596.0,-35.3727567,149.1957791
9597.0,-34.3101528,150.8989647
9600.0,-33.9663932,151.1367121
9601.0,-33.9663932,151.1367121
9602.0,-33.8230285,151.2318359
9603.0,-34.0375465,151.0835981
9604.0,-33.7714908,151.0799406
9606.0,-33.4191247,151.3483296
9610.0,-34.4276498,150.8692199
9612.0,-36.5013661,149.8407157
9613.0,-33.8740035,151.2176244
9614.0,-33.8739352,151.2145413
9615.0,-33.8041708,151.2458041
9616.0,-27.5860164,153.1060998
9617.0,-33.9402497,151.1154885
9618.0,-30.38610929999999,153.0329709
9620.0,-29.1483662,153.3063283
9622.0,-33.2284616,151.5030413
9623.0,-28.6543917,153.5376605
9625.0,-33.841579,151.088939
9626.0,-34.0358093,151.1313468
9631.0,-33.5441917,150.1776561
9632.0,-30.520322,153.001023
9635.0,-33.8793735,151.2170307
9636.0,-32.6992238,151.4561026
9637.0,-32.9824156,151.6921959
9638.0,-33.5499255,150.6808346
9639.0,-34.4058404,150.8907575
9640.0,-33.7463,151.1696408
9641.0,-33.8793735,151.2170307
9642.0,-33.7927414,151.2073979
9643.0,-33.6608956,150.7970218
9644.0,-33.971939,150.99743
9645.0,-33.9026631,150.8956991
9646.0,-33.9411095,151.0278006
9648.0,-29.0958127,153.3396554
9650.0,-33.81270840000001,151.2426028
9651.0,-33.9126,151.118
9652.0,-28.4266564,153.4637868
9655.0,-33.8121301,151.1713631
9656.0,-33.8148708,151.1664351
9657.0,-33.7861411,151.0253914
9658.0,-33.789353,151.0238499
9660.0,-33.3367622,151.3770685
9661.0,-33.3367622,151.3770685
9662.0,-34.3101528,150.8989647
9665.0,-30.6790239,152.9455597
9666.0,-33.5834465,150.2419101
9667.0,-33.7548795,151.2712498
9669.0,-34.0727723,151.0020113
9800.0,-33.8523063,151.2107871
9801.0,-33.8523063,151.2107871
9802.0,-33.7857456,150.961101
9803.0,-33.7862646,150.9670887
9804.0,-33.7311819,151.008792
9806.0,-33.85912830000001,150.9938557
9807.0,-33.85912830000001,150.9938557
9810.0,-33.8366784,150.9897028
9811.0,-33.9448563,151.2243306
9812.0,-33.9464567,151.2279299
9813.0,-33.9444693,151.2516454
9814.0,-33.9444693,151.2516454
9815.0,-33.9170444,151.2414342
9816.0,-33.9089347,151.2027602
9817.0,-33.9185566,151.199429
9818.0,-33.9077069,151.0263924
9819.0,-33.9077069,151.0263924
9820.0,-33.8897338,151.1266322
9821.0,-33.9203516,150.9273538
9822.0,-33.9489473,151.0805338
9823.0,-33.9489473,151.0805338
9824.0,-33.7803001,151.1693998
9825.0,-33.7803001,151.1693998
9826.0,-33.718396,151.298269
9827.0,-33.718396,151.298269
9828.0,-33.9260017,151.0124588
9829.0,-33.9632472,151.0852054
9830.0,-33.9650558,151.1001414
9831.0,-33.7635128,151.2798567
9832.0,-33.894289,150.891065
9833.0,-34.0346031,151.1054626
9834.0,-34.0346031,151.1054626
9835.0,-33.81658530000001,151.1092436
9836.0,-33.81658530000001,151.1092436
9837.0,-33.896277,151.220519
9838.0,-33.896277,151.220519
9839.0,-33.812051,151.0396225
9840.0,-33.812051,151.0396225
9841.0,-33.8671273,150.988116
9842.0,-33.8704044,150.9856395
9843.0,-33.7242039,151.1189764
9844.0,-33.7242039,151.1189764
9845.0,-33.7606459,150.7109626
9846.0,-33.7606459,150.7109626
9847.0,-33.6989771,151.300621
9848.0,-33.70814310000001,151.2960824
9849.0,-33.8801227,151.0928141
9850.0,-33.440534,151.435945
9851.0,-33.9260017,151.0124588
10000.0,-32.0582583,150.8702583
10008.0,-32.6601529,151.0267919
10009.0,-32.5863328,151.1532253
10010.0,-33.07298,151.6509828
10011.0,-33.07298,151.6509828
10012.0,-33.07298,151.6509828
10013.0,-32.5863328,151.1532253
10019.0,-32.6175118,151.1093849
10021.0,-32.5568861,151.1687091
10022.0,-32.545362,151.1495898
10036.0,-32.6605345,151.3515985
10038.0,-32.8706836,151.4300431
10042.0,-32.7142017,151.3278819
10043.0,-32.7142017,151.3278819
10044.0,-32.7142017,151.3278819
10047.0,-32.70917430000001,151.5176708
10050.0,-32.1095292,152.4780207
10051.0,-32.1095292,152.4780207
10052.0,-32.1095292,152.4780207
10055.0,-32.1095292,152.4780207
10060.0,-32.7846953,151.7334245
10071.0,-34.8799505,149.5352035
10073.0,-34.9599481,149.4077462
10075.0,-34.9599481,149.4077462
10077.0,-35.0618689,149.3735609
10080.0,-32.1708727,150.8908584
10081.0,-32.3168065,150.939234
10085.0,-34.9599481,149.4077462
10086.0,-34.9599481,149.4077462
10088.0,-34.9599481,149.4077462
10089.0,-34.8799505,149.5352035
10090.0,-32.6259184,152.0554363
10091.0,-32.5961741,152.1174444
10092.0,-32.5961741,152.1174444
10110.0,-32.9990506,151.5371045
10112.0,-34.2946464,148.3496827
10117.0,-34.5140312,148.1625925
10120.0,-32.6171166,151.2171226
10122.0,-34.2946464,148.3496827
10123.0,-34.2946464,148.3496827
10130.0,-32.9991405,151.6857887
10131.0,-32.9991405,151.6857887
10138.0,-31.8638992,148.6410193
10140.0,-31.8638992,148.6410193
10146.0,-31.9818835,148.583311
10147.0,-31.5536107,148.8145745
10150.0,-31.2489375,149.3064104
10158.0,-31.4302152,149.0702718
10159.0,-31.4302152,149.0702718
10160.0,-32.985812,151.513287
10162.0,-31.2489375,149.3064104
10180.0,-32.7477726,151.5437185
10181.0,-32.7477726,151.5437185
10182.0,-32.7477726,151.5437185
10200.0,-32.7500893,151.8696834
10201.0,-32.802546,151.850501
10202.0,-32.802546,151.850501
10204.0,-32.6645982,152.1572389
10206.0,-32.6645982,152.1572389
10210.0,-32.6981486,151.4092756
10212.0,-32.6661738,151.7272439
10218.0,-32.3980621,151.9623983
10224.0,-32.57380759999999,151.9188956
10226.0,-32.2076194,151.9393414
10227.0,-32.2207581,151.9372369
10228.0,-32.0051715,151.9586041
10229.0,-32.0244487,151.9533587
10231.0,-32.6553869,151.8683913
10246.0,-32.3102227,150.8234388
10247.0,-32.3296058,150.5576112
10250.0,-30.5069228,151.6356351
10251.0,-30.3147893,151.6898311
10252.0,-30.3147893,151.6898311
10253.0,-30.3257894,151.6780762
10255.0,-32.9668197,151.6268218
10256.0,-32.9668197,151.6268218
10274.0,-28.81772939999999,153.5284431
10275.0,-28.81772939999999,153.5284431
10276.0,-28.848359,153.5461183
10277.0,-28.7991634,153.5234204
10280.0,-30.5213977,152.9827172
10282.0,-30.520322,153.001023
10283.0,-30.5447594,153.0065598
10284.0,-30.5213977,152.9827172
10286.0,-30.147621,153.006848
10287.0,-30.0509603,152.9787737
10288.0,-30.0509603,152.9787737
10290.0,-29.0958127,153.3396554
10291.0,-29.0390203,153.4008215
10294.0,-30.0509603,152.9787737
10300.0,-29.0178114,153.4271099
10301.0,-28.95,153.466667
10303.0,-28.95,153.466667
10307.0,-30.6545822,152.2041476
10310.0,-28.8932722,153.4817939
10311.0,-28.95,153.466667
10315.0,-28.5543141,153.5074937
10316.0,-28.5543141,153.5074937
10318.0,-29.559824,151.8602199
10319.0,-31.3387085,152.0196025
10326.0,-28.3560097,153.5728815
10329.0,-28.3356473,153.5740863
10330.0,-30.0162008,153.1776538
10331.0,-30.0162008,153.1776538
10332.0,-30.0162008,153.1776538
10333.0,-30.0162008,153.1776538
10335.0,-28.3560097,153.5728815
10336.0,-28.3560097,153.5728815
10337.0,-28.2973076,153.5701941
10340.0,-31.6899927,152.7336511
10343.0,-31.634383,152.723865
10346.0,-34.5135553,146.2674267
10348.0,-34.5292344,146.3544208
10352.0,-29.3877159,153.2411499
10357.0,-34.3582794,146.0358768
10358.0,-34.4580364,146.0249666
10362.0,-28.1879159,153.5148436
10365.0,-34.4580364,146.0249666
10366.0,-34.4580364,146.0249666
10368.0,-34.4986123,146.0103306
10371.0,-29.277366,153.2174581
10373.0,-34.4986123,146.0103306
10374.0,-34.4986123,146.0103306
10375.0,-34.4986123,146.0103306
10380.0,-28.86373619999999,153.5326189
10381.0,-28.86373619999999,153.5326189
10382.0,-28.86373619999999,153.5326189
10383.0,-31.3689451,152.8011527
10400.0,-30.2057841,151.6755664
10410.0,-30.8817277,152.9372061
10411.0,-30.8817277,152.9372061
10412.0,-30.8817277,152.9372061
10413.0,-30.9282958,152.9410822
10414.0,-31.1123577,152.8301684
10416.0,-31.1123577,152.8301684
10417.0,-31.1123577,152.8301684
10423.0,-30.2383266,151.1313999
10430.0,-30.3089214,153.09976
10433.0,-30.3417432,153.0724488
10435.0,-30.364284,153.038992
10443.0,-29.9342943,153.0957351
10446.0,-29.9342943,153.0957351
10448.0,-29.9342943,153.0957351
10449.0,-29.9342943,153.0957351
10453.0,-28.812556,153.383383
10454.0,-28.8182469,153.3274972
10455.0,-28.8152987,153.286874
10456.0,-28.8152987,153.286874
10463.0,-30.4595405,151.3555334
10470.0,-31.0997108,150.9414436
10471.0,-31.1241952,150.9842987
10474.0,-31.1106376,150.9977725
10481.0,-28.9323877,153.4355079
10484.0,-28.8968342,153.4354416
10485.0,-28.8968342,153.4354416
10498.0,-35.0846006,149.2529124
10504.0,-36.44967,148.4131588
10505.0,-36.44967,148.4131588
10518.0,-33.7908206,150.671978
10520.0,-33.8973769,147.3127352
10527.0,-33.7074328,151.1227643
10529.0,-33.7877012,150.7714889
10531.0,-34.3355065,146.167106
10532.0,-34.3355065,146.167106
10535.0,-33.7877012,150.7714889
10538.0,-33.7945065,151.196447
10540.0,-34.3688297,148.2995021
10544.0,-33.7466399,150.6732759
10545.0,-33.7466399,150.6732759
10546.0,-33.7466399,150.6732759
10547.0,-33.7466399,150.6732759
10549.0,-33.74353,150.657074
10550.0,-33.742987,150.650607
10551.0,-33.7424683,150.6489233
10552.0,-33.7461689,150.6247998
10553.0,-33.7457956,150.6315354
10554.0,-33.7461689,150.6247998
10559.0,-33.761657,150.6405007
10575.0,-33.739417,151.120374
10582.0,-33.8027309,151.1376353
10588.0,-33.7625176,150.992333
10589.0,-33.7625176,150.992333
10590.0,-33.7625176,150.992333
10591.0,-33.7625176,150.992333
10597.0,-33.8071556,151.0845597
10608.0,-33.8028358,151.1997434
10610.0,-34.5313582,148.220244
10612.0,-34.5313582,148.220244
10617.0,-33.7093933,151.1247591
10618.0,-33.7093933,151.1247591
10619.0,-33.7093933,151.1247591
10620.0,-35.1310332,147.352978
10621.0,-33.797478,151.209876
10630.0,-33.9671027,147.1603969
10631.0,-34.091412,147.1434497
10632.0,-34.091412,147.1434497
10633.0,-33.9671027,147.1603969
10641.0,-34.808459,148.6282225
10642.0,-34.7736734,148.8159004
10646.0,-33.10075,149.6947148
10662.0,-33.4973981,149.3239738
10665.0,-33.4872525,149.4098344
10667.0,-33.3529864,149.1699371
10668.0,-33.4169574,149.2605298
10669.0,-33.433177,149.3479195
10671.0,-33.433177,149.3479195
10672.0,-33.4231777,149.4226526
10673.0,-33.4357935,149.3650106
10674.0,-33.4169574,149.2605298
10675.0,-33.4169574,149.2605298
10676.0,-33.3529864,149.1699371
